"","web_url","snippet","lead_paragraph","source","pub_date","document_type","news_desk","section_name","subsectoinName","type_of_material","_id","word_count","score","uri","print_page","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"1","https://www.nytimes.com/reuters/2019/04/02/world/europe/02reuters-britain-eu-vote-bbc.html","There are suggestions that Britain's government has been told it will not be allowed to bring Prime Minister Theresa May's Brexit deal back for a fourth vote, the BBC's political editor said on Tuesday.","There are suggestions that Britain's government has been told it will not be allowed to bring Prime Minister Theresa May's Brexit deal back for a fourth vote, the BBC's political editor said on Tuesday.","Reuters","2019-04-02T11:04:06+0000","article","None","World","Europe","News","5ca3420049f0eacbf1f8019f",147,0,"nyt://article/6765a5aa-3f4e-5c74-9986-03542420b091",NA,"Rumors That UK Government Told It Cannot Hold New Brexit Vote: BBC Political Editor",NA,NA,"Rumors That UK Government Told It Cannot Hold New Brexit Vote: BBC Political Editor",NA,NA,NA,"By REUTERS","REUTERS"
"2","https://www.nytimes.com/2019/04/02/us/virginia-scandal-northam-fairfax.html","Despite broad calls for the resignations of Virginia’s governor, lieutenant governor and attorney general, they remain in office as the state tries to muddle on.","Despite broad calls for the resignations of Virginia’s governor, lieutenant governor and attorney general, they remain in office as the state tries to muddle on.","The New York Times","2019-04-02T09:00:10+0000","article","National","U.S.",NA,"News","5ca324f549f0eacbf1f800f4",1900,0,"nyt://article/53215d65-f6af-508f-a11b-8bc1b12459ca","17","‘It Just Went Poof’: The Strange Aftermath of Virginia’s Cascade of Political Scandals",NA,NA,"‘It Just Went Poof’: Scandals in Virginia Fade Into a Surreal Normalcy",NA,NA,NA,"By CAMPBELL ROBERTSON",NA
"3","https://www.nytimes.com/2019/04/02/world/canada/trudeau-liberal-expel-minister.html","The cabinet ministers were seen as symbols of progressive feminist government by some, but as backstabbers by others.","The cabinet ministers were seen as symbols of progressive feminist government by some, but as backstabbers by others.","The New York Times","2019-04-02T23:51:53+0000","article","Foreign","World","Canada","News","5ca3f5f349f0eacbf1f805a7",1158,0,"nyt://article/416a7063-a876-5745-baf9-2fcf4fb18cda","7","Trudeau and Liberal Party Expel 2 Ex-Ministers at Center of Storm",NA,NA,"Trudeau Expels 2 Ex-Ministers at Center of Political Scandal From Party",NA,NA,NA,"By IAN AUSTEN",NA
"4","https://www.nytimes.com/2019/04/03/nyregion/trump-twitter-block-lawsuit.html","A federal appeals panel will soon rule on whether President Trump violated the First Amendment when he blocked people on Twitter.","A federal appeals panel will soon rule on whether President Trump violated the First Amendment when he blocked people on Twitter.","The New York Times","2019-04-03T22:29:41+0000","article","Metro","New York",NA,"News","5ca5342f49f0eacbf1f80b8d",1235,0,"nyt://article/1c871db9-0f91-5877-82a6-12e3e5d9d079","20","If Trump Can Legally Block Critics on Twitter, Your Local Politician May Do It, Too",NA,NA,"Now Political Blocking of Critics Is Local",NA,NA,NA,"By COLIN MOYNIHAN",NA
"5","https://www.nytimes.com/2019/04/01/us/politics/on-politics-biden-flores-women.html","In the On Politics newsletter: Mr. Biden, whose physical style with friends as well as strangers is no secret, now finds himself caught up in a major generational reckoning.","In the On Politics newsletter: Mr. Biden, whose physical style with friends as well as strangers is no secret, now finds himself caught up in a major generational reckoning.","The New York Times","2019-04-01T22:30:00+0000","article","Politics","U.S.","Politics","News","5ca2914249f0eacbf1f7fed3",1113,0,"nyt://article/2d8b9e8e-46c4-5a96-a2a0-d14365e244b6",NA,"Joe Biden in the Modern Age","On Politics With Lisa Lerer","On Politics With Lisa Lerer","Evening Edition",NA,NA,NA,"By LISA LERER",NA
"6","https://www.nytimes.com/2019/04/01/us/politics/ben-ray-lujan-senate.html","Mr. Luján is a trusted ally of Speaker Nancy Pelosi and was seen as a possible candidate to replace her when she retired.","Mr. Luján is a trusted ally of Speaker Nancy Pelosi and was seen as a possible candidate to replace her when she retired.","The New York Times","2019-04-01T17:22:31+0000","article","Politics","U.S.","Politics","News","5ca2493049f0eacbf1f7fd92",695,0,"nyt://article/d6bcf429-0825-552c-9b9a-f5f7d6e99b47",NA,"Ben Ray Luján, High-Ranking House Democrat, Will Run for Senate in New Mexico",NA,NA,"",NA,NA,NA,"By MATT STEVENS",NA
"7","https://www.nytimes.com/2019/04/03/opinion/facebook-youtube-disinformation.html","Greed. It’s about greed.","Greed. It’s about greed.","The New York Times","2019-04-03T18:46:37+0000","article","Editorial","Opinion",NA,"Op-Ed","5ca4ffe749f0eacbf1f80a8e",1021,0,"nyt://article/bc8c4077-f14c-53f1-b8db-db8970611544","22","Big Tech Was Designed to Be Toxic",NA,NA,"Big Tech’s Original Sin",NA,NA,NA,"By CHARLIE WARZEL",NA
"8","https://www.nytimes.com/2019/04/03/us/politics/house-intelligence-trump-inaugural.html","The panel is seeking information from Stephanie Winston Wolkoff, a top contractor to the inaugural committee, which is also under scrutiny by federal prosecutors.","The panel is seeking information from Stephanie Winston Wolkoff, a top contractor to the inaugural committee, which is also under scrutiny by federal prosecutors.","The New York Times","2019-04-03T18:42:16+0000","article","Washington","U.S.","Politics","News","5ca4fee249f0eacbf1f80a8c",676,0,"nyt://article/2ec2f2dc-8633-572c-8689-1a82e8490197","14","House Intelligence Committee Seeks Documents From Trump’s Inaugural",NA,NA,"Intelligence Panel Is Opening  Own Inquiry of Inauguration",NA,NA,NA,"By MAGGIE HABERMAN and BEN PROTESS",NA
"9","https://www.nytimes.com/2019/04/03/us/politics/joe-biden-women-video.html","The former vice president, trying to stem the damage from complaints about unwanted touching, said he realized “social norms have begun to change.”","The former vice president, trying to stem the damage from complaints about unwanted touching, said he realized “social norms have begun to change.”","The New York Times","2019-04-03T19:35:56+0000","article","Politics","U.S.","Politics","News","5ca50b7649f0eacbf1f80ae7",1160,0,"nyt://article/e31417d2-bbe3-576f-afda-d011e8dfa107","1","Joe Biden, in Video, Says He Will Be ‘More Mindful’ of Personal Space",NA,NA,"‘I Get It’: Biden Pledges Respect For Boundaries",NA,NA,NA,"By SYDNEY EMBER and JONATHAN MARTIN",NA
"10","https://www.nytimes.com/2019/04/03/us/politics/trump-republican-party.html","The Trump campaign has helped install allies atop the most significant state parties, and has urged them to discourage conservative criticism of the president.","The Trump campaign has helped install allies atop the most significant state parties, and has urged them to discourage conservative criticism of the president.","The New York Times","2019-04-03T09:00:09+0000","article","Politics","U.S.","Politics","News","5ca4767349f0eacbf1f80791",1691,0,"nyt://article/ce4afcdb-26a1-53f4-a86a-15003f74eaef","1","Trump’s Takeover of the Republican Party Is Almost Complete",NA,NA,"As 2020 Nears, Trump Tightens Hold on G.O.P.",NA,NA,NA,"By ALEXANDER BURNS and JONATHAN MARTIN",NA
